instruction_en,instruction_yo,input_en,input_yo,output_en,output_yo,category,source
Explain the importance of the Sun in maintaining life on Earth.,Ṣe alaye pataki ti Oorun ni mimu igbesi aye wa lori Earth.,N/A,N/A,"The Sun plays a pivotal role in maintaining life on Earth. It is the primary source of energy for all life forms, driving processes such as photosynthesis in plants, which in turn serves as a fundamental base for the food chain. The Sun's heat ensures the planet's climate is warm enough to sustain liquid water, an essential component for life as we know it. Additionally, solar energy influences weather patterns and seasons, critical for the growth cycles of plants and breeding patterns of animals. The Sun's ultraviolet rays also help in the production of vitamin D in humans, crucial for bone health. Without the Sun, Earth would be a cold, lifeless planet. Its constant energy sustains ecosystems, regulates climate, and fuels life's myriad forms.","Oorun ṣe ipa pataki ni mimu igbesi aye wa lori Earth. O jẹ orisun akọkọ ti agbara fun gbogbo awọn fọọmu igbesi aye, awọn ilana awakọ bii photosynthesis ninu awọn ohun ọgbin, eyiti o jẹ bi ipilẹ ipilẹ fun pq ounje. Ooru Oorun ṣe idaniloju oju-ọjọ aye gbona to lati ṣetọju omi olomi, paati pataki fun igbesi aye bi a ti mọ ọ. Ni afikun, agbara oorun ni ipa awọn ilana oju ojo ati awọn akoko, pataki fun awọn ọna idagbasoke ti awọn irugbin ati awọn ilana ibisi ti awọn ẹranko. Awọn egungun ultraviolet ti oorun tun ṣe iranlọwọ ni iṣelọpọ Vitamin D ninu eniyan, pataki fun ilera egungun. Laisi Oorun, Earth yoo jẹ tutu, aye ti ko ni aye. Agbara rẹ nigbagbogbo n ṣe atilẹyin awọn eto ilolupo eda abemi, ṣe ilana oju-ọjọ, o si nmu awọn ọna igbesi aye lọpọlọpọ.",generation,self-instruct
"Write a descriptive text about a historical figure who played a significant role in your country's history, making sure to highlight their key contributions.","Kọ ọrọ ijuwe kan nipa eniyan itan kan ti o ṣe ipa pataki ninu itan-akọọlẹ orilẹ-ede rẹ, ni idaniloju lati ṣe afihan awọn ilowosi bọtini wọn.",Yaa Asantewaa of the Ashanti Empire,Yaa Asantewaa ti Ashanti Empire,"Yaa Asantewaa, a fearless leader of the Ashanti Empire, remains a symbol of courage and resistance in Ghana's history. Born in 1840, she rose to prominence during the War of the Golden Stool in 1900 against British colonial forces. Defying the traditional gender roles of her time, Yaa Asantewaa led the Ashanti rebellion with remarkable bravery, rallying troops and inspiring her people to fight for their autonomy and the protection of their sacred Golden Stool, a symbol of the Ashanti nation's soul. Although the rebellion was eventually quelled, and she was exiled, her legacy endures, embodying the spirit of resistance and the unyielding fight for freedom and dignity. Yaa Asantewaa's unwavering leadership and tenacity remain a beacon of inspiration not only for Ghana but for freedom fighters worldwide.","Yaa Asantewaa, adari alaibẹru ti Ijọba Ashanti, jẹ aami ti igboya ati atako ninu itan-akọọlẹ Ghana. Ti a bi ni ọdun 1840, o dide si olokiki lakoko Ogun ti Golden Stool ni ọdun 1900 lodi si awọn ologun amunisin Ilu Gẹẹsi. Ni ilodisi awọn ipa akọ-abo ti aṣa ti akoko rẹ, Yaa Asantewaa ṣe itọsọna iṣọtẹ Ashanti pẹlu igboya iyalẹnu, awọn ọmọ ogun ikojọpọ ati iwuri fun awọn eniyan rẹ lati ja fun ominira wọn ati aabo ti Stool mimọ mimọ wọn, aami ti ẹmi orilẹ-ede Ashanti. Bí ó tilẹ̀ jẹ́ pé a fòpin sí ìṣọ̀tẹ̀ náà nígbẹ̀yìn-gbẹ́yín, tí a sì lé e lọ sí ìgbèkùn, ogún rẹ̀ ń bá a lọ, ní fífi ẹ̀mí àtakò àti ìjà tí kì í yẹ̀ sílẹ̀ fún òmìnira àti iyì. Olori ailagbara ti Yaa Asantewaa ati iduroṣinṣin duro jẹ ipilẹ awokose kii ṣe fun Ghana nikan ṣugbọn fun awọn onija ominira ni kariaye.",generation,self-instruct
"Write a short story inspired by the following prompt: In a dystopian future, a lone wanderer discovers an ancient library that holds the last remaining books on Earth.","Kọ itan kukuru kan ti o ni atilẹyin nipasẹ itọsi atẹle: Ni ọjọ iwaju dystopian kan, alarinkiri kan ti n ṣe awari ile-ikawe atijọ kan ti o ni awọn iwe to ku kẹhin lori Earth.","In a world where digital information has long since replaced physical books, the discovery of an ancient library by a lone wanderer in the ruins of an old city sparks hope for humanity's cultural revival.","Ninu aye kan nibiti alaye oni nọmba ti pẹ lati rọpo awọn iwe ti ara, iṣawari ti ile-ikawe atijọ nipasẹ alarinkiri kan ti o dawa ninu awọn iparun ti ilu atijọ kan jẹ ki ireti fun isoji aṣa eniyan.","In the ashen shadow of what used to be civilization, Alex, the wanderer, stumbled upon the remnants of a building that whispered tales of a forgotten era. As they pushed open the creaky door, they were greeted by a sight that brought tears to their eyes. Rows upon rows of books, their spines cracked and pages yellowed, but each one a vessel of the old world's wisdom. In this moment, Alex knew they had stumbled upon humanity's last beacon of hope. With newfound determination, they set out to preserve these texts, ensuring that the flame of knowledge would once again light the darkened world.","Ni ojiji ashen ti ohun ti o jẹ ọlaju tẹlẹ, Alex, alarinkiri, kọsẹ lori awọn iyokù ti ile kan ti o sọ awọn itan-ọrọ ti akoko igbagbe. Bí wọ́n ṣe ń ti ilẹ̀kùn tó ń jà, wọ́n rí ohun kan tó mú omijé lójú. Awọn ori ila lori awọn ori ila ti awọn iwe, awọn ọpa ẹhin wọn ya ati awọn oju-iwe ofeefee, ṣugbọn ọkọọkan jẹ ohun elo ti ọgbọn agbaye atijọ. Ni akoko yii, Alex mọ pe wọn ti kọsẹ lori itankalẹ ireti ti ẹda eniyan. Pẹlu ipinnu tuntun, wọn gbera lati tọju awọn ọrọ wọnyi, ni idaniloju pe ina imo yoo tun tan imọlẹ si agbaye ti o ṣokunkun lẹẹkansi.",generation,self-instruct
"Create a detailed report on the economic impact of renewable energy resources in country X, highlighting both benefits and challenges.","Ṣẹda ijabọ alaye lori ipa aje ti awọn orisun agbara isọdọtun ni orilẹ-ede X, ti n ṣe afihan awọn anfani ati awọn italaya mejeeji.","Country X is considering transitioning to renewable energy sources such as wind, solar, and hydroelectric power to combat climate change and reduce its carbon footprint.","Orilẹ-ede X n gbero iyipada si awọn orisun agbara isọdọtun gẹgẹbi afẹfẹ, oorun, ati agbara hydroelectric lati koju iyipada oju-ọjọ ati dinku ifẹsẹtẹ erogba rẹ.","The transition to renewable energy in Country X presents a unique set of opportunities and challenges. On one hand, it promises to reduce dependency on fossil fuels, lower carbon emissions, and stimulate job creation in new sectors. However, the initial investment cost, the need for technological advancement, and potential impacts on the traditional energy workforce pose significant hurdles. A comprehensive study indicates that, while the short-term economic disruptions are considerable, the long-term benefits including sustainable development, energy security, and a healthier environment far outweigh these challenges. Thus, Country X's commitment to renewable energy could set a precedent for a global shift towards a more sustainable future.","Iyipada si agbara isọdọtun ni Orilẹ-ede X ṣafihan eto alailẹgbẹ ti awọn anfani ati awọn italaya. Ni ọwọ kan, o ṣe ileri lati dinku igbẹkẹle lori awọn epo fosaili, itujade erogba kekere, ati mu ẹda iṣẹ ṣiṣẹ ni awọn apa tuntun. Bibẹẹkọ, idiyele idoko-owo akọkọ, iwulo fun ilọsiwaju imọ-ẹrọ, ati awọn ipa ti o pọju lori agbara oṣiṣẹ agbara ibile jẹ awọn idiwọ pataki. Iwadi okeerẹ kan tọkasi pe, lakoko ti awọn idalọwọduro eto-ọrọ kukuru kukuru jẹ akude, awọn anfani igba pipẹ pẹlu idagbasoke alagbero, aabo agbara, ati agbegbe ti o ni ilera ju awọn italaya wọnyi lọ. Nitorinaa, ifaramọ Orilẹ-ede X si agbara isọdọtun le ṣeto ipilẹṣẹ fun iyipada agbaye si ọna iwaju alagbero diẹ sii.",generation,self-instruct
"Describe an ideal day in the life of a futuristic AI-powered caregiver robot, detailing the various tasks and interactions it would have with its human client.","Ṣe apejuwe ọjọ pipe ni igbesi aye robot olutọju AI-agbara ojo iwaju, ṣe alaye awọn iṣẹ ṣiṣe lọpọlọpọ ati awọn ibaraẹnisọrọ ti yoo ni pẹlu alabara eniyan rẹ.",Tina is an 85-year-old woman living alone. She recently received an AI-powered caregiver robot named RoboCare 3000 to assist her with daily activities.,Tina jẹ́ obìnrin ẹni ọdún márùnlélọ́gọ́rin [85] kan tó ń dá nìkan wà. Laipẹ o gba robot olutọju AI-agbara AI ti a npè ni RoboCare 3000 lati ṣe iranlọwọ fun u pẹlu awọn iṣẹ ojoojumọ.,"RoboCare 3000 begins its day by gently waking Tina with soft music. It then prepares and serves her breakfast, ensuring that her dietary needs are met. Throughout the day, the robot assists Tina with various tasks such as medication management, exercise, and even engaging in meaningful conversations to keep her company. It continuously monitors her health, alerting healthcare providers if needed. In the evening, RoboCare 3000 helps Tina video call her family, fostering her social connections. Before bedtime, it reads her a story, ensuring that Tina feels cared for and secure. This AI-powered caregiver not only provides essential assistance but also companionship, enhancing Tina's quality of life significantly.","RoboCare 3000 bẹrẹ ọjọ rẹ nipa ji Tina rọra jiji pẹlu orin rirọ. Lẹhinna o mura ati ṣe iranṣẹ ounjẹ aarọ rẹ, ni idaniloju pe awọn aini ounjẹ rẹ pade. Ni gbogbo ọjọ, robot ṣe iranlọwọ fun Tina pẹlu awọn iṣẹ ṣiṣe lọpọlọpọ gẹgẹbi iṣakoso oogun, adaṣe, ati paapaa ṣiṣe awọn ibaraẹnisọrọ to nilari lati tọju ile-iṣẹ rẹ. O n ṣe abojuto ilera rẹ nigbagbogbo, titaniji awọn olupese ilera ti o ba nilo. Ni irọlẹ, RoboCare 3000 ṣe iranlọwọ fun fidio Tina pe ẹbi rẹ, ti n ṣe agbega awọn asopọ awujọ rẹ. Ṣaaju ki o to akoko sisun, o ka itan kan fun u, ni idaniloju pe Tina ni itara ati ni aabo. Olutọju ti o ni agbara AI kii ṣe pese iranlọwọ pataki nikan ṣugbọn ibakẹgbẹ, imudara didara igbesi aye Tina ni pataki.",generation,self-instruct
"Imagine you've discovered a new planet. Describe its environment, inhabitants, and how they have adapted to survive.","Fojuinu pe o ti ṣawari aye tuntun kan. Ṣàpèjúwe àyíká rẹ̀, àwọn olùgbé, àti bí wọ́n ṣe mú ara wọn bára mu láti là á já.","The newly discovered planet, named Gaianova, orbits a sun-like star in the habitable zone. It has diverse ecosystems ranging from lush forests to barren deserts.","Aye tuntun ti a ṣe awari, ti a npè ni Gaianova, yipo irawọ bi oorun ni agbegbe ibugbe. O ni oniruuru awọn eto ilolupo ti o wa lati awọn igbo ọti si awọn aginju agan.","Gaianova is a testament to the resilience of life. Its forests are home to towering tree-like organisms that collect solar energy through their broad leaves. The inhabitants, known as Gaians, have developed a symbiotic relationship with these trees, nurturing them in exchange for shelter and nourishment. In the harsher deserts, Gaians have evolved thick skins to conserve water and navigate the terrain using elaborate sand-sails. A network of underground rivers provides essential water sources, around which communities gather. Despite the challenges posed by their diverse environments, Gaians have thrived, creating a harmonious balance with Gaianova's rich and varied biosphere.","Gaianova jẹ ẹrí si resilience ti aye. Awọn igbo rẹ jẹ ile fun awọn ohun alumọni ti o ga bi igi ti o gba agbara oorun nipasẹ awọn ewe gbooro wọn. Awọn olugbe, ti a mọ ni Gaians, ti ni idagbasoke ibatan symbiotic pẹlu awọn igi wọnyi, titọ wọn ni paṣipaarọ fun ibi aabo ati ounjẹ. Ni awọn aginju ti o buruju, awọn Gaians ti wa ni awọn awọ ti o nipọn lati tọju omi ati lilö kiri ni ilẹ nipa lilo awọn sails ti iyanrin. Nẹtiwọọki ti awọn odo ipamo n pese awọn orisun omi pataki, eyiti awọn agbegbe ti pejọ. Pelu awọn italaya ti o waye nipasẹ awọn agbegbe oniruuru wọn, awọn Gaians ti ni ilọsiwaju, ṣiṣẹda iwọntunwọnsi ibaramu pẹlu ọlọrọ ati oniruuru biosphere ti Gaianova.",generation,self-instruct
"Craft a descriptive paragraph about a traditional festival in your chosen culture, including the activities, sights, and sounds experienced by attendees.","Ṣe abala apejuwe kan nipa ajọdun ibile kan ninu aṣa ti o yan, pẹlu awọn iṣẹ ṣiṣe, awọn iwo, ati awọn ohun ti o ni iriri nipasẹ awọn olukopa.","The festival in question is Diwali, the Hindu Festival of Lights, celebrated annually.","Awọn Festival ni ibeere ni Diwali, awọn Hindu Festival of imole, se lododun.","Diwali, the enchanting Festival of Lights, illuminates the heart of Hindu culture with its vibrant display of unity and renewal. As night falls, the sky bursts into color with fireworks, each explosion a declaration of joy. Homes are adorned with rows of oil lamps, casting a warm glow that signifies the victory of light over darkness. The air is filled with the aroma of sweets and savory delicacies, shared generously among friends and family. The sound of laughter and music serenades the streets, as people of all ages come together to celebrate. Diwali is not just a festival; it's a time of reflection, gratitude, and the strengthening of bonds, leaving attendees with a sense of awe and a heart full of memories.","Diwali, Festival ti Imọlẹ ti o wuyi, tan imọlẹ ọkan ti aṣa Hindu pẹlu ifihan larinrin ti isokan ati isọdọtun. Bi alẹ ti n ṣubu, awọn ọrun ti nwaye sinu awọ pẹlu awọn iṣẹ ina, ọkọọkan bugbamu jẹ ikede ayọ. Awọn ile ti wa ni ọṣọ pẹlu awọn ori ila ti awọn atupa epo, ti nfi didan gbona ti o tọkasi iṣẹgun ti imọlẹ lori òkunkun. Afẹfẹ naa kun fun oorun didun ti awọn didun lete ati awọn ounjẹ aladun, ti o pin lọpọlọpọ laarin awọn ọrẹ ati ẹbi. Awọn ohun ti ẹrín ati orin serenades awọn ita, bi eniyan ti gbogbo ọjọ ori wa papo lati ayeye. Diwali ni ko o kan kan Festival; o jẹ akoko iṣaro, ọpẹ, ati okun ti awọn iwe ifowopamosi, fifi awọn olukopa silẹ pẹlu ori ti ẹru ati ọkan ti o kun fun awọn iranti.",generation,self-instruct
Generate a captivating opening line for a novel set in a dystopian future where the last human city is hidden beneath the ocean's surface.,Ṣe ina laini ṣiṣi ti o ni iyanilẹnu fun aramada ti a ṣeto ni ọjọ iwaju dystopian nibiti ilu eniyan ti o kẹhin ti farapamọ labẹ oju omi okun.,,,"In a world swallowed by the ceaseless sea, humanity's last bastion whispered secrets deep beneath the waves, hidden from the desolate above.","Ninu aye ti okun ti ko ni idaduro mì, ipilẹ ti o kẹhin ti ẹda eniyan sọ awọn aṣiri ti o jinlẹ labẹ awọn igbi omi, ti o farapamọ si ahoro loke.",generation,self-instruct
Craft a poem about the beauty and tranquility of a forest at sunrise.,Ṣe oriki kan nipa ẹwa ati ifokanbale ti igbo ni ila-oorun.,,,"As dawn's first light creeps through the trees,
The forest awakes with a whispering breeze.
Sunbeams dance on leaves aglow,
In tranquil woods where time moves slow.","Bi ina akọkọ ti owurọ ti nrakò nipasẹ awọn igi,
Igbo na ji pelu afefefefefe.
Sunbeams jó lori awọn ewe ti nyọ,
Ni awọn igbo ti o ni idakẹjẹ nibiti akoko n lọra.",generation,self-instruct
Describe an innovative technology that could revolutionize how we produce sustainable energy in 50 words.,Ṣe apejuwe imọ-ẹrọ imotuntun ti o le ṣe iyipada bi a ṣe n ṣe agbejade agbara alagbero ni awọn ọrọ 50.,,,"Introducing 'Solargenix': A groundbreaking solar film capable of harnessing solar energy more efficiently than traditional panels. Its thin, flexible material can be applied to any surface, transforming buildings and vehicles into power generators, significantly reducing our reliance on fossil fuels for a more sustainable future.","Ṣafihan 'Solargenix': Fiimu oorun ti ilẹ ti o lagbara lati mu agbara oorun ṣiṣẹ daradara siwaju sii ju awọn panẹli ibile lọ. Tinrin rẹ, ohun elo rọ le ṣee lo si eyikeyi dada, iyipada awọn ile ati awọn ọkọ sinu awọn olupilẹṣẹ agbara, ni pataki idinku igbẹkẹle wa lori awọn epo fosaili fun ọjọ iwaju alagbero diẹ sii.",generation,self-instruct
"Invent a legend about how the mountains were created, incorporating elements of magic and mythical creatures.","Ṣe arosọ kan nipa bi a ṣe ṣẹda awọn oke-nla, ti o ṣafikun awọn eroja ti idan ati awọn ẹda itan-akọọlẹ.",,,"Long ago, the world was flat and endless, until the day the Sky-Weaver and Earth-Dancer, two titanic creatures of magic, battled fiercely across the land. Where their hooves struck, mountains rose, and valleys formed. Thus, they sculpted our world, leaving behind towering peaks as eternal monuments to their dance.","Ni igba pipẹ sẹhin, agbaye jẹ alapin ati ailopin, titi di ọjọ ti Ọrun-Weaver ati Earth-Dancer, awọn ẹda idan meji titanic, ja ija lile ni gbogbo ilẹ naa. Níbi tí pátákò wọn ti lù, àwọn òkè ńlá ga, tí àwọn àfonífojì sì hù. Nípa bẹ́ẹ̀, wọ́n ṣe ayé wa, tí wọ́n fi sílẹ̀ sẹ́yìn àwọn góńgó gíga gẹ́gẹ́ bí ohun ìrántí ayérayé fún ijó wọn.",generation,self-instruct
Write an executive summary for a report on the implications of artificial intelligence in healthcare.,Kọ akojọpọ alaṣẹ fun ijabọ kan lori awọn ilolu ti oye atọwọda ni ilera.,,,"This report highlights the transformative impact of artificial intelligence (AI) in healthcare, focusing on its potential to enhance diagnostic accuracy, personalize treatment plans, and streamline administrative processes. While AI promises significant benefits, it also raises ethical concerns and the need for rigorous data protection measures. As such, its integration into healthcare systems necessitates careful consideration and strategic planning to ensure both effectiveness and adherence to ethical standards.","Ijabọ yii ṣe afihan ipa iyipada ti itetisi atọwọda (AI) ni ilera, ni idojukọ agbara rẹ lati jẹki iṣedede iwadii aisan, ṣe akanṣe awọn eto itọju ti ara ẹni, ati mu awọn ilana iṣakoso ṣiṣẹ. Lakoko ti AI ṣe ileri awọn anfani pataki, o tun gbe awọn ifiyesi ihuwasi ati iwulo fun awọn iwọn aabo data lile. Bii iru bẹẹ, iṣọpọ rẹ sinu awọn eto ilera nilo akiyesi akiyesi ati igbero ilana lati rii daju imunadoko mejeeji ati ifaramọ si awọn iṣedede iṣe.",generation,self-instruct
Narrate a short story that involves a time-travel mishap leading to a comical situation. Use the present as the starting point.,Sọ itan kukuru kan ti o kan ijakulẹ irin-ajo akoko ti o yori si ipo apanilẹrin kan. Lo lọwọlọwọ bi aaye ibẹrẹ.,"The story begins at a modern-day science fair, where a seemingly malfunctioning time machine catches the eye of a curious teenager.","Itan naa bẹrẹ ni ibi iṣafihan imọ-jinlẹ ode oni, nibiti ẹrọ akoko ti o dabi ẹnipe aiṣedeede mu oju ọdọ ọdọ iyanilenu kan.","In the story, the teen activates the time machine accidentally and finds themselves in the middle of a historic battle reenactment, causing hilarious confusion among the actors and the teen as they navigate through cannons and costumed soldiers, trying to find their way back.","Ninu itan naa, ọdọmọkunrin naa n mu ẹrọ akoko ṣiṣẹ lairotẹlẹ o si rii ara wọn ni aarin isọdọtun ogun itan, ti o fa idarudapọ panilerin laarin awọn oṣere ati ọdọ bi wọn ti nlọ kiri nipasẹ awọn cannons ati awọn ọmọ-ogun ti o ni aṣọ, n gbiyanju lati wa ọna wọn pada.",generation,self-instruct
"Draft a press release for a start-up company launching an innovative, eco-friendly product. Be sure to highlight its unique features and benefits.","Akọsilẹ a tẹ Tu fun a ibere-soke ile ifilọlẹ ohun aseyori, irinajo-ore ọja. Rii daju lati ṣe afihan awọn ẹya alailẹgbẹ ati awọn anfani rẹ.","GreenTech Innovations is introducing 'AquaPure', a portable water filtration system that transforms rainwater into drinkable water, using solar power.","GreenTech Innovations n ṣafihan 'AquaPure', eto isọ omi to ṣee gbe ti o yi omi ojo pada si omi mimu, ni lilo agbara oorun.","The press release emphasizes AquaPure's revolutionary filtration technology, its compactness, and solar-powered operation, making it ideal for adventurers and eco-conscious households. It concludes with an invitation to their launch event and contacts for pre-orders.","Itusilẹ atẹjade n tẹnuba imọ-ẹrọ isọda rogbodiyan AquaPure, iwapọ rẹ, ati iṣẹ agbara oorun, ti o jẹ ki o jẹ apẹrẹ fun awọn alarinrin ati awọn idile ti o mọye. O pari pẹlu ifiwepe si iṣẹlẹ ifilọlẹ wọn ati awọn olubasọrọ fun awọn aṣẹ-tẹlẹ.",generation,self-instruct
"Write a poem about the serenity of nature, incorporating imagery of mountains, rivers, and forests.","Kọ ewi kan nipa ifokanbalẹ ti iseda, fifi awọn aworan ti awọn oke-nla, awọn odo, ati awọn igbo pọ.",,,"The poem evokes the tranquility of untouched wilderness, with vivid imagery of towering peaks, flowing rivers, and dense forests. It celebrates the peaceful coexistence of all elements in nature, concluding with a plea for its preservation.","Oriki naa fa ifokanbalẹ ti aginju ti a ko fọwọkan, pẹlu aworan ti o han gbangba ti awọn oke giga giga, awọn odo ti nṣàn, ati awọn igbo nla. O ṣe ayẹyẹ ibagbepọ alaafia ti gbogbo awọn eroja ni iseda, ni ipari pẹlu ẹbẹ fun itọju rẹ.",generation,self-instruct
"Compose an email to convince your manager to adopt a four-day workweek, citing significant benefits.","Ṣajọ imeeli kan lati parowa fun oluṣakoso rẹ lati gba ọsẹ iṣẹ-ọjọ mẹrin kan, n tọka awọn anfani pataki.","As a project manager at Innovatech Solutions, you've observed increased stress levels among your team and believe a shorter workweek could be beneficial.","Gẹgẹbi oluṣakoso ise agbese ni Innovatech Solutions, o ti ṣe akiyesi awọn ipele aapọn ti o pọ si laarin ẹgbẹ rẹ ati gbagbọ pe ọsẹ iṣẹ kuru le jẹ anfani.","The email outlines research supporting the productivity and well-being benefits of a four-day workweek, examples from other successful companies, and proposed a trial period. It ends with an invitation to discuss further in a meeting.","Imeeli naa ṣe afihan iwadii ti n ṣe atilẹyin iṣẹ ṣiṣe ati awọn anfani alafia ti ọsẹ iṣẹ ọjọ mẹrin, awọn apẹẹrẹ lati awọn ile-iṣẹ aṣeyọri miiran, ati dabaa akoko idanwo kan. O pari pẹlu ifiwepe lati jiroro siwaju sii ni ipade kan.",generation,self-instruct
Describe a future where artificial intelligence and humans live in harmony. Focus on the societal changes and interactions.,Ṣe apejuwe ọjọ iwaju nibiti oye atọwọda ati awọn eniyan n gbe ni ibamu. Fojusi lori awọn iyipada awujọ ati awọn ibaraẹnisọrọ.,,,"The future scenario describes a world where AI assists in daily tasks, mentorship, and even emotional support. It mentions societal shifts like reduced working hours, enhanced creativity, and fostered human connections. Proactive AI regulation ensures harmony and mutual growth.","Oju iṣẹlẹ iwaju n ṣe apejuwe agbaye nibiti AI ṣe iranlọwọ ni awọn iṣẹ ṣiṣe lojoojumọ, idamọran, ati paapaa atilẹyin ẹdun. O mẹnuba awọn iṣipopo awujọ bii awọn wakati iṣẹ ti o dinku, iṣẹda ti o ni ilọsiwaju, ati imudara awọn isopọ eniyan. Ilana AI ti nṣiṣe lọwọ ṣe idaniloju isokan ati idagbasoke ajọṣepọ.",generation,self-instruct
Craft a short story about a young detective solving a mysterious case in a futuristic city.,Ṣiṣẹda itan kukuru kan nipa ọdọ aṣawari ọdọ kan ti n yanju ọran aramada kan ni ilu ọjọ-iwaju kan.,"In 2150, Detective Alex finds a cryptic note leading to the city's underground.","Ni ọdun 2150, Alex Detective ri akọsilẹ cryptic kan ti o yori si ipamo ilu naa.","Detective Alex, the youngest in the force, was known for her keen analytical skills. The year was 2150, and the city was a blend of neon lights and shadowy corners. The note found was cryptic, ""The key to the future lies in the past."" With nothing but her wits and a holo-map, she delved into the city's underground. Her investigation revealed a clandestine group trying to reverse-engineer ancient technology. Alex used her skills to outsmart them, solving the case and saving the city's future. It was a testament to her brilliance and the power of persistence.","Alex Otelemuye, abikẹhin ninu agbara, ni a mọ fun awọn ọgbọn itupalẹ itara rẹ. Ọdun naa jẹ 2150, ilu naa si jẹ idapọ ti awọn ina neon ati awọn igun ojiji. Akọsilẹ ti a ri jẹ cryptic, ""Kọtini si ojo iwaju wa ni igba atijọ."" Pẹlu nkankan bikoṣe ọgbọn rẹ ati maapu holo, o lọ sinu ipamo ilu naa. Iwadii rẹ ṣe afihan ẹgbẹ aṣiri kan ti o ngbiyanju lati yiyipada-ẹrọ imọ-ẹrọ atijọ. Alex lo ọgbọn rẹ lati ṣaju wọn, yanju ọran naa ati fifipamọ ọjọ iwaju ilu naa. Ó jẹ́ ẹ̀rí sí ìmọ́lẹ̀ rẹ̀ àti agbára ìfaradà.",generation,self-instruct
Describe the lifecycle of a fictional plant species that thrives in extreme environments.,Ṣapejuwe igbesi-aye igbesi-aye ti iru ọgbin itanjẹ ti o ṣe rere ni awọn agbegbe ti o pọju.,Species: Pyroflora Incendium,Awọn eya: Pyroflora Incendium,"The Pyroflora Incendium, a remarkable species, flourishes in the harshest environments, where flames regularly engulf the landscape. It begins its lifecycle as a dormant seed, able to withstand temperatures over 1,000 degrees Celsius. When a fire sweeps through, the heat triggers the seed's germination. It sprouts rapidly, absorbing nutrients from the ash-rich soil. With fiery-red leaves that photosynthesize even in low light, it grows quickly. Its flowers, resembling flames, bloom only at night, emitting a strong glow to attract its pollinator, the Nocturna moth. After pollination, it produces seeds encased in a fireproof shell, ensuring the species' survival. The Pyroflora Incendium's lifecycle is a fascinating adaptation to life in fire-dominated ecosystems.","Pyroflora Incendium, eya ti o lapẹẹrẹ, n dagba ni awọn agbegbe ti o lewu julọ, nibiti awọn ina ti n kun oju-ilẹ nigbagbogbo. O bẹrẹ igbesi aye rẹ bi irugbin ti o sun, ti o ni anfani lati koju awọn iwọn otutu ju iwọn 1,000 Celsius. Nígbà tí iná bá gba ibẹ̀ kọjá, ooru máa ń mú kí irúgbìn náà dàgbà. Ó rú jáde ní kíá, ó sì ń fa àwọn èròjà oúnjẹ láti inú ilẹ̀ ọlọ́rọ̀ eérú náà. Pẹlu awọn ewe ina-pupa ti o photosynthesize paapaa ni ina kekere, o dagba ni kiakia. Awọn ododo rẹ, ti o dabi awọn ina, ti n tan ni alẹ nikan, ti njade didan ti o lagbara lati ṣe ifamọra adodo rẹ, moth Nocturna. Lẹhin ti eruku adodo, o ṣe agbejade awọn irugbin ti a fi sinu ikarahun ti ko ni ina, ni idaniloju iwalaaye eya naa. Igbesi aye igbesi aye Pyroflora Incendium jẹ aṣamubadọgba ti o fanimọra si igbesi aye ni awọn ilana ilolupo ti ina.",generation,self-instruct
Generate a news report on the discovery of an ancient city underwater near the Greek island of Crete.,Ṣe ijabọ iroyin kan lori wiwa ti ilu atijọ kan labẹ omi nitosi erekusu Greek ti Crete.,Discovery date: April 20th,Ọjọ Awari: Oṣu Kẹrin Ọjọ 20th,"On the 20th of April, a groundbreaking discovery was made near the Greek island of Crete. A team of marine archaeologists, using advanced underwater scanning technology, uncovered an ancient city submerged beneath the Aegean Sea. Believed to date back to the Minoan civilization, this city offers insights into a culture that thrived around 2000 BCE. Artifacts found at the site, including pottery, tools, and inscriptions, suggest it was a hub of trade and cultural exchange. The discovery has sparked excitement among historians and archaeologists worldwide, hoping to unravel more secrets about the Minoan people and their connections to other ancient civilizations. This underwater city promises to be a treasure trove of historical knowledge, opening a new chapter in the study of ancient maritime societies.","Ni ọjọ 20th ti Oṣu Kẹrin, a ṣe awari ipilẹ kan nitosi erekusu Giriki ti Crete. Àwùjọ àwọn awalẹ̀pìtàn inú omi òkun kan, ní lílo ìmọ̀ iṣẹ́ ẹ̀rọ wíwo inú omi tó ti tẹ̀ síwájú, ṣàwárí ìlú kan tó ti wà láyé àtijọ́ kan tó rì sínú Òkun Aegean. Ti gbagbọ lati ọjọ pada si ọlaju Minoan, ilu yii nfunni awọn oye si aṣa ti o dagba ni ayika 2000 BCE. Awọn ohun-ọṣọ ti a rii ni aaye naa, pẹlu ikoko, awọn irinṣẹ, ati awọn akọle, daba pe o jẹ ibudo iṣowo ati paṣipaarọ aṣa. Awari naa ti fa idunnu laarin awọn onimọ-akọọlẹ ati awọn onimọ-jinlẹ ni kariaye, nireti lati ṣii awọn aṣiri diẹ sii nipa awọn eniyan Minoan ati awọn asopọ wọn si awọn ọlaju atijọ miiran. Ilu ti o wa labẹ omi yii ṣe ileri lati jẹ ibi-iṣura ti imọ itan, ṣiṣi ipin titun kan ninu ikẹkọ awọn awujọ omi okun atijọ.",generation,self-instruct
